Date,Passenger Vehicles
Mar-17,1790402
Apr-17,1540950
May-17,1632369
Jun-17,1558202
Jul-17,1443317
Aug-17,1362955
Sep-17,1388400
Oct-17,1890667
Nov-17,2065863
Dec-17,1386814
Jan-18,1639332
Feb-18,1484827
Mar-18,1722526
Apr-18,1683324
May-18,1827806
Jun-18,1661410
Jul-18,1673921
Aug-18,1531040
Sep-18,1482501
Oct-18,1602083
Nov-18,2038916
Dec-18,1733833
Jan-19,1654563
Feb-19,1460593
Mar-19,1612230
Apr-19,1583724
May-19,1676979
Jun-19,1565800
Jul-19,1642577
Aug-19,1481570
Sep-19,1360902
Oct-19,1712904
Nov-19,2106592
Dec-19,1526903
Jan-20,1604810
Feb-20,1564207
Mar-20,2102499
Apr-20,344558
May-20,202787
Jun-20,964785
Jul-20,1120026
Aug-20,1160340
Sep-20,1299522
Oct-20,1320622
Nov-20,1790495
Dec-20,1772977
Jan-21,1521665
Feb-21,1418187
Mar-21,1559490
Apr-21,1112734
May-21,512221
Jun-21,1165038
Jul-21,1474174
Aug-21,1301084
Sep-21,1202621
Oct-21,1270171
Nov-21,1718438
Dec-21,1452866
Jan-22,1328427
Feb-22,1267889